icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
KOKX,OKX,72501,Brookhaven/Upton,NY,US,40.87,-72.87,26,8,OKX
KOTX,OTX,72786,Spokane WFO,WA,US,47.68,-117.63,727,8,OTX
KOUN,OUN,72357,Norman,OK,US,35.23,-97.47,357,3,OUN
KPIT,PIT,72520,Pittsburgh Intl,PA,US,40.53,-80.23,357,2,PIT
KHSV,HSV,72323,Huntsville,AL,US,34.68,-86.68,191,4,QAG
KREV,REV,72489,Reno WFO,NV,US,39.57,-119.8,1516,8,REV
KRIW,RIW,72672,Riverton,WY,US,43.07,-108.47,1697,2,RIW
KRNK,RNK,72318,Roanoke/Blacksburg,VA,US,37.2,-80.42,648,8,RNK
KSGF,SGF,72440,Springfield,MO,US,37.23,-93.4,390,5,SGF
KSHV,SHV,72248,Shreveport,LA,US,32.45,-93.83,83,3,SHV
KASD,ASD,,Slidell,LA,US,30.33,-89.82,7,2,SIL
KSLC,SLC,72572,Salt Lake City,UT,US,40.77,-111.97,1286,0,SLC
KSLE,SLE,72694,Salem,OR,US,44.92,-123.02,59,2,SLE
KTBW,TBW,72210,Tampa Bay Area WFO,FL,US,27.7,-82.4,12,8,TBW
KGTF,GTF,72775,Great Falls,MT,US,47.45,-111.38,1119,0,TFX
KTLH,TLH,72214,Tallahassee,FL,US,30.45,-84.3,19,3,TLH
KTOP,TOP,72456,Topeka/Billard,KS,US,39.07,-95.62,268,3,TOP
KUIL,UIL,72797,Quillayute,WA,US,47.95,-124.55,54,2,UIL
KVBG,VBG,72393,Vandenberg AFB,CA,US,34.75,-120.57,112,3,VBG
KLAS,LAS,72386,Las Vegas,NV,US,36.05,-115.18,636,2,VEF
KVPS,VPS,72221,Eglin AFB,FL,US,30.48,-86.52,26,6,VPS
KWAL,WAL,72402,Wallops Island,VA,US,37.93,-75.48,14,5,WAL
KXMR,XMR,74794,Cocoa Beach,FL,US,28.48,-80.55,3,8,XMR
