icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
KCOU,COU,72445,Columbia,MO,US,38.83,-92.22,271,4,KCOU
KBHM,BHM,72228,Birmingham Intl,AL,US,33.56,-86.75,197,4,KBHM
KLGA,LGA,72503,New York/La Guardia,NY,US,40.78,-73.88,11,1,KLGA
KVIH,VIH,,Vichy/Rolla,MO,US,38.14,-91.77,333,7,KVIH
KBCE,BCE,,Bryce Canyon,UT,US,37.71,-112.16,2312,6,KBCE
KAAT,AAT,,Alturas,CA,US,41.491,-120.564,1331,7,KAAT
KRUM,RUM,72618,Rumford,ME,US,44.54,-70.53,207,8,KRUM
KUKI,UKI,,Ukiah,CA,US,39.14,-123.2,187,6,KUKI
KMVL,MVL,,Morrisville,VT,US,44.53,-72.61,234,7,KMVL
KAVL,AVL,72315,Asheville,NC,US,35.44,-82.55,670,4,KAVL
KCRW,CRW,72414,Charleston,WV,US,38.38,-81.6,309,6,KCRW
CYMO,YMO,71836,Moosonee,ON,CA,51.289,-80.614,10,5,CYMO
KMHS,MHS,72595,Mount Shasta,CA,US,41.33,-122.32,1078,7,KMHS
KOGS,OGS,,Ogdensburg,NY,US,44.69,-75.4,91,7,KOGS
CYSJ,YSJ,71609,Saint John,NB,CA,45.33,-65.88,109,6,CYSJ
CYVO,YVO,71725,Val D'Or,QB,CA,48.05,-77.78,337,6,CYVO
KDOV,DOV,,Dover AFB,DE,US,39.14,-75.47,9,6,KDOV
KCAE,CAE,72310,Columbia Metro,SC,US,33.96,-81.12,70,3,KCAE
KACK,ACK,72506,Nantucket Memorial,MA,US,41.26,-70.07,16,2,KACK
KJAN,JAN,72235,Jackson,MS,US,32.33,-90.08,91,3,KJAN
KTYS,TYS,72326,Knoxville,TN,US,35.81,-83.98,302,4,KTYS
KJST,JST,,Johnstown,PA,US,40.33,-78.83,694,6,KJST
KLEE,LEE,,Leesburg,FL,US,28.82,-81.81,23,7,KLEE
KSUX,SUX,72557,Sioux City,IA,US,42.41,-96.38,338,3,KSUX
KGVL,GVL,,Gainesville,GA,US,34.26,-83.83,386,7,KGVL
KHYR,HYR,,Hayward,WI,US,46.025,-91.444,370,6,KHYR
KSUS,SUS,,St. Louis/Spirit,MO,US,38.66,-90.63,141,3,KSUS
,,76256,Empalme,,MX,27.95,-110.766666667,12,8,76256
KMHX,MHX,72305,Morehead City,NC,US,34.7666666667,-76.8666666667,9,8,KMHX
KGJT,GJT,72476,Grand Junction,CO,US,39.12,-108.53,1475,2,KGJT
KPUB,PUB,72464,Pueblo Memorial,CO,US,38.29,-104.52,1420,3,KPUB
KP38,P38,72487,Caliente,NV,US,37.62,-114.52,1333,8,KP38
MYEG,,78092,George Town,Exuma,BS,23.5,-75.766,3,7,MYEG
KSFF,SFF,,Spokane/Felts Field,WA,US,47.68,-117.32,609,6,KSFF
KLHX,LHX,,La Junta,CO,US,38.05,-103.52,1277,7,KLHX
KACY,ACY,72407,Atlantic City,NJ,US,39.46,-74.57,23,4,KACY
KMSN,MSN,72641,Madison,WI,US,43.14,-89.33,261,4,KMSN
KBAF,BAF,,Westfield,MA,US,42.16,-72.72,83,6,KBAF
KSRQ,SRQ,,Sarasota,FL,US,27.4,-82.55,18,6,KSRQ
,WNC,74556,Winchester Profiler,IL,US,39.71,-90.52,165,8,WNC
KDYS,DYS,69019,Dyess AFB,TX,US,32.44,-99.85,545,6,KDYS
KSHR,SHR,72666,Sheridan,WY,US,44.78,-106.97,1202,1,KSHR
KAQP,AQP,,Appleton,MN,US,45.23,-96.0,311,7,KAQP
KJMS,JMS,,Jamestown,ND,US,46.93,-98.68,455,6,KJMS
KMTV,MTV,,Martinsville,VA,US,36.63,-80.02,287,7,KMTV
MMPR,PVR,,Puerto Vallarta,,MX,20.68,-105.25,6,6,MMPR
KAYS,AYS,72213,Waycross,GA,US,31.25,-82.4,46,7,KAYS
KWYS,WYS,,W Yellowstone,MT,US,44.6884,-111.118,2025,8,KWYS
CYOW,YOW,71628,Ottawa,ON,CA,45.33,-75.67,114,2,CYOW
KBLI,BLI,,Bellingham,WA,US,48.79,-122.54,50,6,KBLI
KLFT,LFT,,Lafayette,LA,US,30.2,-91.99,11,6,KLFT
KMPV,MPV,,Montpelier,VT,US,44.21,-72.57,343,4,KMPV
CYQK,YQK,71850,Kenora,ON,CA,49.79,-94.37,411,6,CYQK
CWSE,WSE,71119,Edmonton/Stony Plain,AB,CA,53.5333333333,-114.083333333,766,8,CWSE
KRIW,RIW,72672,Riverton,WY,US,43.05,-108.45,1697,2,KRIW
KCXO,CXO,,Conroe,TX,US,30.36,-95.41,75,8,KCXO
KHXD,HXD,,Hilton Head Island,SC,US,32.22,-80.7,6,7,KHXD
KAGC,AGC,,Pittsburgh/Allegheny County,PA,US,40.35,-79.93,389,6,KAGC
MMCV,CVM,76491,Cuidad Victoria,,MX,23.72,-98.97,238,6,MMCV
KRCX,RCX,,Ladysmith,WI,US,45.497,-91.0,377,8,KRCX
KFNT,FNT,72637,Flint,MI,US,42.98,-83.73,233,4,KFNT
KDTX,DTX,72632,Detroit WFO,MI,US,42.71,-83.47,327,8,KDTX
KPSM,PSM,,Pease,NH,US,43.09,-70.82,31,6,KPSM
CYXC,YXC,71880,Cranbrook,BC,CA,49.62,-115.78,939,6,CYXC
MMMY,MTY,,Monterrey,,MX,25.78,-100.1,387,6,MMMY
KASE,ASE,,Aspen,CO,US,39.22,-106.87,2354,4,KASE
KSMP,SMP,,Stampede Pass,WA,US,47.29,-121.33,1208,3,KSMP
KPHX,PHX,72278,Phoenix,AZ,US,33.44,-112.02,336,0,KPHX
KCVS,CVS,,Cannon AFB,NM,US,34.39,-103.32,1309,4,KCVS
KBPI,BPI,72671,Big Piney,WY,US,42.58,-110.1,2117,6,KBPI
KRDD,RDD,72592,Redding,CA,US,40.51,-122.3,155,3,KRDD
KCAR,CAR,72712,Caribou,ME,US,46.88,-68.02,191,0,KCAR
KNSI,NSI,72291,San Nicolas Is.,CA,US,33.26,-119.45,154,7,KNSI
KMLS,MLS,74230,Miles City,MT,US,46.44,-105.87,801,4,KMLS
KAGS,AGS,72218,Augusta,GA,US,33.38,-81.97,44,4,KAGS
KERY,ERY,,Newberry,MI,US,46.31,-85.46,265,7,KERY
KACT,ACT,72256,Waco,TX,US,31.62,-97.22,151,6,KACT
KGPI,GPI,,Kalispell,MT,US,48.3,-114.27,908,6,KGPI
KIMM,IMM,,Immokalee,FL,US,26.4333333333,-81.4,12,8,KIMM
KPNT,PNT,,Pontiac,IL,US,40.92,-88.63,201,7,KPNT
MMGL,GDL,,Guadalajara,,MX,20.52,-103.32,1528,5,MMGL
CYZX,YZX,71397,Greenwood,NS,CA,44.98,-64.92,28,6,CYZX
KFLO,FLO,,Florence,SC,US,34.19,-79.72,44,6,KFLO
KENV,ENV,72581,Wendover,UT,US,40.73,-114.03,1292,4,KENV
KPHF,PHF,,Patrick Henry,VA,US,37.14,-76.5,12,6,KPHF
KORE,ORE,,Orange,MA,US,42.58,-72.28,164,7,KORE
CYHZ,YHZ,71395,Halifax,NS,CA,44.89,-63.52,145,0,CYHZ
KEGE,EGE,,Eagle,CO,US,39.66,-106.92,1993,6,KEGE
KMKE,MKE,,Milwaukee,WI,US,42.96,-87.9,206,3,KMKE
KSAF,SAF,,Santa Fe,NM,US,35.62,-106.08,1930,1,KSAF
KMHR,MHR,,Sacramento/Mather,CA,US,38.5553,-121.297,29,7,KMHR
KHON,HON,72654,Huron,SD,US,44.39,-98.22,390,6,KHON
KMQT,MQT,72743,Marquette,MI,US,46.54,-87.57,430,4,KMQT
KDSM,DSM,72546,Des Moines,IA,US,41.54,-93.65,295,2,KDSM
KSPD,SPD,,Springfield,CO,US,37.3,-102.58,1329,7,KSPD
KCTY,CTY,72212,Cross City,FL,US,29.62,-83.1,13,6,KCTY
KEMP,EMP,,Emporia,KS,US,38.34,-96.2,367,7,KEMP
KMFE,MFE,,McAllen,TX,US,26.18,-98.24,38,6,KMFE
KMRB,MRB,,Martinsburg,WV,US,39.41,-77.98,164,4,KMRB
KRBL,RBL,72591,Red Bluff,CA,US,40.15,-122.25,104,6,KRBL
KHOB,HOB,,Hobbs,NM,US,32.69,-103.2,1115,6,KHOB
KSAN,SAN,72290,San Diego Intl,CA,US,32.73,-117.17,12,2,KSAN
KCIC,CIC,72497,Chico,CA,US,39.79,-121.85,73,7,KCIC
KLKN,LKN,72582,Elko WFO,NV,US,40.8666666667,-115.716666667,1608,8,KLKN
KMFR,MFR,72597,Medford,OR,US,42.38,-122.87,396,0,KMFR
KREO,REO,,Rome,OR,US,42.58,-117.89,1235,6,KREO
KACV,ACV,,Arcata,CA,US,40.99,-124.1,67,6,KACV
KMOX,MOX,,Morris,MN,US,45.5,-95.92,343,7,KMOX
CYPL,YPL,71845,Pickle Lake,ON,CA,51.48,-90.2,373,5,CYPL
KMHT,MHT,,Manchester,NH,US,42.94,-71.43,81,6,KMHT
KNEW,NEW,,New Orleans/Lakefront,LA,US,30.04,-90.03,3,1,KNEW
MMCZ,CZM,76648,Cozumel,,MX,20.53,-86.93,5,6,MMCZ
KDAN,DAN,,Danville,VA,US,36.58,-79.33,175,6,KDAN
KFDR,FDR,,Frederick,OK,US,34.35,-98.98,386,5,KFDR
KMOB,MOB,72223,Mobile/Bates Field,AL,US,30.68,-88.25,63,3,KMOB
KAZO,AZO,,Kalamazoo,MI,US,42.24,-85.55,272,6,KAZO
KLNK,LNK,72551,Lincoln,NE,US,40.86,-96.75,364,3,KLNK
CYYG,YYG,71706,Charlottetown,PE,CA,46.29,-63.13,54,6,CYYG
MUGT,,78267,Guantanamo,,CU,20.0833333333,-75.15,8,7,MUGT
CYTL,YTL,71848,Big Trout Lake,ON,CA,53.83,-89.87,224,6,CYTL
,BLM,74662,Bloomfield Profiler,MO,US,36.83,-89.94,105,8,BLM
KPOU,POU,,Poughkeepsie,NY,US,41.64,-73.88,46,4,KPOU
KGMU,GMU,,Greenville Downtown,SC,US,34.85,-82.35,315,5,KGMU
KIAH,IAH,72243,Houston/Bush,TX,US,29.97,-95.35,36,2,KIAH
KROD,ROD,,Rosewood Vor,OH,US,40.2833333333,-84.0333333333,360,8,KROD
KIND,IND,72438,Indianapolis,IN,US,39.73,-86.27,241,2,KIND
KRNK,RNK,72318,Roanoke/Blacksburg,VA,US,37.2,-80.4,648,8,KRNK
,PRC,74649,Purcell Profiler,OK,US,34.98,-97.46,333,8,PRC
KCRP,CRP,72251,Corpus Christi,TX,US,27.77,-97.5,14,2,KCRP
KCNK,CNK,72458,Concordia,KS,US,39.55,-97.65,447,7,KCNK
KTVC,TVC,,Traverse City,MI,US,44.73,-85.58,190,6,KTVC
KGFL,GFL,,Glens Falls,NY,US,43.36,-73.62,103,6,KGFL
KMKC,MKC,,Kansas City/Downtown,MO,US,39.12,-94.6,227,1,KMKC
KLRD,LRD,72252,Laredo,TX,US,27.54,-99.47,155,3,KLRD
KHSI,HSI,,Hastings,NE,US,40.61,-98.43,591,7,KHSI
KSYR,SYR,72519,Syracuse,NY,US,43.12,-76.12,127,3,KSYR
KFAM,FAM,,Farmington,MO,US,37.76,-90.43,288,6,KFAM
CYYZ,YYZ,71624,Toronto,ON,CA,43.69,-79.63,173,3,CYYZ
KPIT,PIT,72520,Pittsburgh Intl,PA,US,40.51,-80.22,357,2,KPIT
,GDA,74530,Granada Profiler,CO,US,37.83,-102.24,1153,8,GDA
KHRL,HRL,,Harlingen,TX,US,26.23,-97.67,10,6,KHRL
KCHE,CHE,,Hayden Vor,CO,US,40.4833333333,-107.216666667,2339,8,KCHE
KBGR,BGR,72607,Bangor,ME,US,44.81,-68.83,57,3,KBGR
KGCK,GCK,,Garden City,KS,US,37.94,-100.72,877,4,KGCK
KAUW,AUW,72646,Wausau,WI,US,44.93,-89.62,362,6,KAUW
K2F1,2F1,,Shamrock,TX,US,35.22,-100.22,691,8,K2F1
KBWG,BWG,,Bowling Green,KY,US,36.96,-86.42,168,4,KBWG
KUVA,UVA,,Uvalde,TX,US,29.211,-99.744,287,7,KUVA
KPVW,PVW,,Plainview,TX,US,34.23,-101.77,1040,7,KPVW
KPSF,PSF,,Pittsfield,MA,US,42.43,-73.29,355,7,KPSF
K9B6,9B6,,Sewel Ridge,ME,US,43.0,-68.0,150,8,K9B6
KJDN,JDN,,Jordan,MT,US,47.33,-106.93,801,7,KJDN
KIDA,IDA,,Idaho Falls,ID,US,43.53,-112.07,1453,6,KIDA
CYVV,YVV,71633,Wiarton,ON,CA,44.76,-81.1,222,6,CYVV
KGNR,GNR,72619,Greenville,ME,US,45.462,-69.595,427,7,KGNR
KTRK,TKF,,Truckee-Tahoe,CA,US,39.32,-120.14,1798,6,KTRK
KLNS,LNS,,Lancaster,PA,US,40.12,-76.3,125,7,KLNS
KLAN,LAN,72539,Lansing,MI,US,42.78,-84.6,264,4,KLAN
KANB,ANB,,Anniston Metro,AL,US,33.59,-85.85,183,6,KANB
KTUS,TUS,,Tucson,AZ,US,32.12,-110.93,776,2,KTUS
KGDP,GDP,72262,Guadalupe Mtns Np,TX,US,31.83,-104.8,1692,7,KGDP
KMAF,MAF,72265,Midland,TX,US,31.933,-102.2,874,5,KMAF
MMMM,MLM,76665,Morelia,,MX,19.85,-101.03,1833,6,MMMM
KFVX,FVX,,Farmville,VA,US,37.35,-78.43,125,7,KFVX
KRFD,RFD,72543,Rockford,IL,US,42.21,-89.1,221,4,KRFD
KTPA,TPA,72211,Tampa,FL,US,27.97,-82.53,11,3,KTPA
KCKB,CKB,,Clarksburg,WV,US,39.29,-80.23,360,4,KCKB
KPAH,PAH,72435,Paducah,KY,US,37.07,-88.77,119,3,KPAH
KABI,ABI,72266,Abilene,TX,US,32.43,-99.68,548,4,KABI
KOSH,OSH,,Oshkosh,WI,US,44.01,-88.57,248,6,KOSH
KDQU,DQU,74752,DeQueen Profiler,AR,US,34.14,-94.25,175,8,KDQU
KCOS,COS,72466,Colorado Springs,CO,US,38.83,-104.72,1856,3,KCOS
CYYC,YYC,71877,Calgary,AB,CA,51.12,-114.02,1084,0,CYYC
KCHO,CHO,,Charlottesville,VA,US,38.14,-78.45,192,6,KCHO
KPHD,PHD,,New Philadelphia,OH,US,40.47,-81.42,272,7,KPHD
CYKF,YKF,71368,Waterloo Well,ON,CA,43.47,-80.39,317,6,CYKF
KRME,RME,,Rome,NY,US,43.234,-75.407,154,7,KRME
KATY,ATY,,Watertown,SD,US,44.92,-97.16,532,6,KATY
KMAX,MAX,,Jackson County,OR,US,42.0833333333,-122.716666667,2290,8,KMAX
CYLW,YLW,71203,Kelowna,BC,CA,49.94,-119.46,817,1,CYLW
KSJN,SJN,,St. Johns,AZ,US,34.52,-109.38,1745,6,KSJN
CYWA,YWA,71625,Petawawa,ON,CA,45.96,-77.31,130,6,CYWA
KACQ,ACQ,,Waseca,MN,US,44.14,-93.56,337,8,KACQ
CYGQ,YGQ,71834,Geraldton,ON,CA,49.79,-86.93,351,6,CYGQ
KSCK,SCK,72492,Stockton Metro,CA,US,37.91,-121.25,10,6,KSCK
KMDT,MDT,,Middletown,PA,US,40.21,-76.77,95,6,KMDT
KSUN,SUN,,Hailey,ID,US,43.504,-114.296,1620,6,KSUN
KMOT,MOT,,Minot,ND,US,48.28,-101.28,519,6,KMOT
KCOT,COT,,Cotulla,TX,US,28.45,-99.22,140,7,KCOT
MMCN,CEN,,Ciudad Obregon,MX,MX,27.39,-109.83,43,6,MMCN
KPRX,PRX,,Paris,TX,US,33.64,-95.45,167,7,KPRX
KCHA,CHA,72324,Chattanooga,TN,US,35.04,-85.2,210,4,KCHA
KDLS,DLS,,The Dalles,OR,US,45.62,-121.15,71,3,KDLS
KTNB,TNB,,Boone,NC,US,36.199,-81.651,911,7,KTNB
KMYL,MYL,,McCall,ID,US,44.89,-116.1,1533,6,KMYL
KJWG,JWG,,Watonga,OK,US,35.86,-98.42,472,7,KJWG
KPDK,PDK,,Atlanta/Dekalb-Peachtree,GA,US,33.88,-84.3,302,7,KPDK
KMBL,MBL,,Manistee,MI,US,44.28,-86.25,189,7,KMBL
KFDY,FDY,,Findlay,OH,US,41.03,-83.67,247,6,KFDY
KFTY,FTY,,Atlanta/Fulton County,GA,US,33.78,-84.52,263,3,KFTY
KTVL,TVL,,South Lake Tahoe,CA,US,38.91,-120.0,1924,6,KTVL
KSFM,SFM,,Sanford,ME,US,43.4,-70.7,74,7,KSFM
KHRO,HRO,,Harrison,AR,US,36.28,-93.15,417,6,KHRO
,LMN,74647,Lamont Profiler,OK,US,36.72,-97.49,317,8,LMN
KCMX,CMX,72744,Houghton,MI,US,47.18,-88.5,326,6,KCMX
KCGI,CGI,,Cape Girardeau,MO,US,37.23,-89.58,102,6,KCGI
CYXX,YXX,71108,Abbotsford,BC,CA,49.04,-122.37,58,6,CYXX
KTBW,TBW,72210,Tampa Bay Area WFO,FL,US,27.7,-82.4,12,8,KTBW
KFAT,FAT,72389,Fresno,CA,US,36.78,-119.72,104,2,KFAT
KPGA,PGA,72371,Page,AZ,US,36.94,-111.45,1307,3,KPGA
KMOR,MOR,,Morristown,TN,US,36.1833333333,-83.3666666667,400,8,KMOR
KBKE,BKE,,Baker,OR,US,44.84,-117.82,1024,6,KBKE
KPSP,PSP,,Palm Springs,CA,US,33.84,-116.5,135,3,KPSP
CYFO,YFO,,Flin Flon,MB,CA,54.69,-101.69,304,7,CYFO
KORF,ORF,72308,Norfolk,VA,US,36.9,-76.2,14,3,KORF
KBKW,BKW,72412,Beckley Memorial,WV,US,37.79,-81.12,764,6,KBKW
KTUL,TUL,72356,Tulsa,OK,US,36.21,-95.9,207,3,KTUL
KBIS,BIS,72764,Bismarck,ND,US,46.78,-100.75,505,0,KBIS
KROC,ROC,72529,Rochester,NY,US,43.12,-77.67,178,6,KROC
KMLI,MLI,72544,Moline,IL,US,41.46,-90.52,184,6,KMLI
KPSC,PSC,,Pasco,WA,US,46.27,-119.12,121,6,KPSC
KFLL,FLL,,Fort Lauderdale,FL,US,26.07,-80.15,3,6,KFLL
,BLR,74357,Blue River Profiler,WI,US,43.24,-90.47,265,8,BLR
KEWN,EWN,,New Bern,NC,US,35.09,-77.05,3,6,KEWN
KFCS,FCS,72468,Fort Carson,CO,US,38.69,-104.77,1789,6,KFCS
KINW,INW,72374,Winslow (Autob),AZ,US,35.03,-110.73,1490,4,KINW
KAVP,AVP,72513,Wilkes-Barre/Scranton,PA,US,41.33,-75.73,291,6,KAVP
KNHK,NHK,72404,Patuxent River N,MD,US,38.29,-76.4,12,6,KNHK
KFRI,FRI,72455,Junction City,KS,US,39.055,-96.765,325,6,KFRI
KDUJ,DUJ,,Dubois,PA,US,41.19,-78.9,554,6,KDUJ
KDBQ,DBQ,72547,Dubuque,IA,US,42.41,-90.7,326,4,KDBQ
KFRM,FRM,,Fairmont,MN,US,43.66,-94.42,354,6,KFRM
KGSP,GSP,72312,Greenville/Spartanburg,SC,US,34.91,-82.22,287,3,KGSP
KHGR,HGR,,Hagerstown,MD,US,39.71,-77.73,224,7,KHGR
KSAC,SAC,,Sacramento/Executive,CA,US,38.52,-121.5,11,2,KSAC
MYBS,,78070,Alice Town,Bimini,BS,25.73,-79.3,3,7,MYBS
KGYX,GYX,74389,Gray,ME,US,43.9,-70.25,125,8,KGYX
KPWM,PWM,72606,Portland,ME,US,43.66,-70.32,15,3,KPWM
CWZC,,,Moosonee,ON,CA,51.2833333333,-80.6,11,8,CWZC
KMKL,MKL,,McKellar,TN,US,35.61,-88.92,128,6,KMKL
KTMB,TMB,,Miami/Kendall-Tamiami,FL,US,25.65,-80.43,2,7,KTMB
KCHH,CHH,74494,Chatham,MA,US,41.68,-69.97,16,8,KCHH
KWRL,WRL,,Worland,WY,US,43.98,-107.97,1271,6,KWRL
KPAE,PAE,,Everett,WA,US,47.91,-122.28,180,6,KPAE
KMCN,MCN,72217,Macon,GA,US,32.71,-83.65,109,3,KMCN
KELP,ELP,72270,El Paso,TX,US,31.8,-106.4,1197,2,KELP
KAHN,AHN,72311,Athens,GA,US,33.96,-83.32,244,4,KAHN
