DATE / RAOB	ELEV	REPORT	MUCAPE	MUMR	500TEMP	300 T	7-5 LR	5-3 LR	0-3SH	0-6SH	0-9SH	SRH3	SHIP	MODELb
03050518.BNA	210	4.25	2730	16.0	-12.9	-36.4	7.1	6.5	18.3	37.0	37.2	239	2.2	-999.0
03050500.SGF	387	4.25	5169	15.7	-13.5	-40.7	7.6	7.4	30.0	38.4	50.7	348	4.6	2.9
03040600.FWD	171	4.25	2487	12.4	-14.3	-41.7	7.3	7.5	17.1	31.5	51.8	341	2.1	2.9
01070300.LBF	849	4.25	5584	16.7	-8.7	-37.3	8.5	7.8	14.2	18.0	24.7	154	2.4	4.2
98063000.TOP	270	4.00	6490	21.8	-5.3	-30.5	7.2	6.6	18.1	24.4	32.6	230	2.0	1.7
98050800.FFC	244	4.00	4120	17.3	-12.3	-36.1	7.7	6.4	17.1	31.0	51.6	172	3.4	2.2
97082200.LBF	849	4.00	3974	15.7	-9.7	-35.9	7.4	7.1	17.4	26.4	37.5	321	2.4	3.3
96052300.LBF	847	4.00	2915	13.5	-11.1	-38.2	8.0	7.3	18.5	27.8	43.7	303	2.3	2.9
95102700.SGF	394	4.00	2166	12.5	-13.8	-41.6	6.9	7.6	25.7	21.9	29.4	267	1.3	1.6
95072600.DDC	791	4.00	5696	18.3	-10.1	-32.2	8.8	5.9	17.1	21.3	19.2	238	3.5	3.3
95072500.FTD	196	4.00	2897	15.4	-10.0	-30.5	9.2	5.5	12.8	19.1	19.8	168	1.7	-999.0
95051600.JAN	91	4.00	4861	17.9	-10.9	-37.6	7.8	7.2	8.6	14.9	18.5	-35	2.0	2.5
95050600.FTD	196	4.00	2036	15.1	-11.1	-34.7	7.1	6.4	20.8	21.2	37.5	304	1.1	0.6
93072300.HON	443	4.00	3720	15.7	-8.1	-37.4	6.0	7.8	15.4	19.1	22.5	130	1.1	1.5
93071600.RAP	966	4.00	3230	14.1	-7.5	-34.9	7.7	7.3	18.6	25.0	35.8	97	1.5	3.2
91041300.SEP	399	4.00	5008	16.9	-10.6	-40.5	6.8	8.1	12.2	21.8	27.4	137	2.6	3.4
90090200.RAP	966	4.00	1762	11.3	-7.4	-33.9	7.5	7.0	14.1	23.6	32.7	181	0.6	2.1
90070100.DAY	298	4.00	3541	16.6	-9.4	-33.6	7.1	6.5	8.6	19.9	24.5	154	1.5	1.8
90060900.TOP	268	4.00	5571	18.5	-10.1	-39.2	7.3	7.8	14.8	22.6	16.4	252	3.0	2.7
90051900.AMA	1095	4.00	2732	11.5	-9.3	-38.2	7.7	7.8	18.5	26.1	30.4	301	1.4	2.1
90051500.AMA	1095	4.00	4543	14.8	-9.9	-36.2	8.2	7.1	19.2	24.7	33.8	473	2.9	2.2
89071800.LBF	847	4.00	3622	15.4	-9.4	-35.6	8.1	7.0	22.9	38.9	37.6	361	2.4	2.9
89062700.DDC	791	4.00	2840	14.3	-8.4	-36.6	7.6	7.5	12.7	19.4	19.2	167	1.1	2.2
89061100.AMA	1095	4.00	3666	15.8	-8.7	-35.4	7.6	7.2	11.1	11.0	19.2	87	0.9	-999.0
06092221.SGF	387	4.00	5071	17.6	-6.7	-36.1	5.3	7.9	21.0	31.6	37.0	202	1.6	1.1
06071700.INL	361	4.00	3719	14.1	-11.1	-38.3	8.4	7.4	19.9	26.3	29.8	328	3.0	2.4
06050600.MAF	872	4.00	3533	12.4	-12.3	-40.1	8.2	7.5	19.3	33.6	48.0	174	2.8	2.0
04071318.DVN	229	4.00	6090	20.8	-11.1	-37.3	8.4	7.1	22.5	25.9	22.3	191	4.7	2.8
03050300.BMX	178	4.00	4593	15.2	-15.7	-40.1	7.9	6.7	8.1	32.4	30.5	51	5.0	2.9
02061300.DDC	790	4.00	6234	19.5	-6.9	-31.9	7.6	6.6	17.2	19.8	32.7	126	2.1	3.7
02042000.MAF	872	4.00	2974	12.9	-8.1	-36.7	6.9	7.6	19.0	24.3	41.7	133	1.2	2.5
95051900.BMX	178	3.75	3370	16.5	-9.9	-35.7	6.6	7.0	16.9	20.6	25.5	246	1.5	0.6
03040400.OUN	357	3.75	2640	11.9	-15.1	-42.7	7.3	7.6	13.4	24.0	23.9	187	2.0	2.3
99072600.LBF	849	3.65	4375	16.4	-6.7	-30.5	7.9	6.4	9.5	12.9	16.1	60	1.0	2.6
99050400.OUN	357	3.65	5195	15.6	-14.9	-44.1	8.4	8.0	16.5	21.3	22.0	343	4.5	4.7
99030600.LZK	165	3.65	1922	11.7	-18.5	-46.3	8.2	7.7	21.4	22.8	39.2	360	1.9	2.1
98052200.SGF	387	3.65	4719	17.1	-9.9	-36.5	7.8	7.2	13.8	22.4	23.1	232	2.6	2.3
98040800.ILX	178	3.65	1354	10.2	-19.7	-46.5	7.2	7.5	20.1	21.2	25.1	180	1.1	2.6
03062300.OAX	350	3.65	6203	18.7	-9.3	-36.9	8.6	7.5	12.3	13.6	22.9	237	2.2	4.2
02091900.OUN	357	3.65	4268	15.7	-6.1	-36.9	6.7	8.2	17.8	20.8	23.4	308	1.2	3.0
02062400.ABR	396	3.65	5093	17.2	-10.5	-35.7	8.2	6.8	16.9	26.3	30.9	187	3.7	3.5
02060500.RNK	654	3.65	5399	17.9	-9.7	-34.9	6.9	6.7	8.7	4.0	7.3	54	0.8	3.2
02051200.TOP	270	3.65	4489	15.8	-11.9	-38.9	8.1	7.3	13.7	26.0	26.5	224	3.6	3.3
02051100.MAF	872	3.65	4658	14.5	-9.3	-35.9	8.4	7.2	14.8	23.1	40.3	132	2.7	2.2
01072100.GGW	700	3.65	3114	13.5	-10.7	-38.5	7.7	7.5	15.8	28.3	30.5	354	2.2	2.8
01071800.ABR	396	3.65	5177	17.5	-9.9	-36.7	8.4	7.2	9.6	19.5	28.2	136	2.7	3.9
01062100.DDC	790	3.65	4428	15.2	-10.7	-37.5	7.8	7.3	13.4	19.0	25.2	400	2.3	3.2
01061400.DDC	790	3.65	5244	15.7	-8.9	-36.7	8.0	7.5	19.8	28.1	28.2	384	3.2	2.5
01052500.JAN	101	3.65	3446	13.5	-15.1	-42.5	7.5	7.5	17.4	21.8	31.4	240	2.7	2.7
01051800.AMA	1099	3.65	4695	13.9	-10.5	-38.9	8.6	7.7	16.1	13.2	22.8	86	1.8	2.1
01050700.SHV	79	3.65	2945	14.8	-12.5	-39.3	6.5	7.3	9.0	15.7	22.1	110	1.2	1.7
01050700.LZK	78	3.65	3512	14.7	-12.9	-40.5	5.9	7.5	7.3	18.7	26.3	77	1.6	3.4
01041500.DDC	790	3.65	3892	13.1	-18.3	-43.1	9.0	6.9	24.4	43.1	54.7	233	5.4	2.5
01040400.SGF	387	3.65	3277	12.8	-15.1	-43.1	8.3	7.7	17.2	22.4	28.9	310	2.8	3.1
98062000.OUN	357	3.50	6048	19.0	-7.1	-35.9	7.8	7.7	13.7	15.4	11.2	209	1.7	3.9
98052500.OUN	357	3.50	5688	18.0	-10.7	-39.7	8.1	7.8	9.9	21.9	28.7	172	3.5	4.2
98052100.TOP	270	3.50	4680	16.5	-12.5	-38.1	8.4	7.0	9.8	10.5	23.7	100	1.7	3.8
97062100.LBF	849	3.50	6058	17.3	-9.3	-35.7	8.8	7.2	13.9	23.1	25.1	129	3.7	3.7
96062000.OAX	350	3.50	4081	16.3	-9.8	-37.1	8.6	7.4	18.9	19.0	24.4	271	2.1	-999.0
90061900.BIS	504	3.50	1968	11.1	-13.5	-40.9	8.2	7.5	17.4	28.4	38.0	257	1.5	2.9
90060900.IAD	85	3.50	3994	17.2	-10.9	-35.5	7.1	6.7	18.3	23.7	20.0	203	2.4	0.9
90040600.SEP	399	3.50	3764	12.4	-14.9	-45.3	7.8	8.4	15.4	25.2	36.8	305	3.3	2.3
90031400.OUN	357	3.50	3950	14.6	-16.1	-39.5	7.2	6.4	12.3	20.2	49.4	169	3.0	2.9
89070300.STC	315	3.50	3556	15.6	-8.2	-35.9	7.0	7.4	8.5	15.8	21.4	128	1.1	1.4
02081200.DDC	790	3.50	3415	14.0	-8.7	-34.3	8.0	6.9	10.7	15.7	27.7	157	1.2	3.1
01061500.FWD	171	3.50	4260	17.3	-9.7	-33.7	7.9	6.5	11.1	15.1	9.7	74	1.6	2.2
01041000.SGF	387	3.50	3476	13.0	-14.5	-41.3	7.9	7.4	12.5	21.6	30.3	141	2.7	2.6
91060500.DDC	791	3.25	4631	16.9	-7.9	-35.5	6.5	7.4	11.0	15.3	15.4	74	1.2	3.5
06070200.GRB	214	3.25	3255	15.4	-9.3	-35.9	6.6	7.1	14.7	17.0	24.9	99	1.1	1.5
99060200.FWD	196	3.00	4928	17.3	-11.5	-37.3	8.8	7.0	15.3	15.0	30.3	171	2.4	4.5
98062900.TOP	270	3.00	6895	22.0	-7.7	-33.1	7.0	6.8	19.3	20.6	27.3	335	2.5	2.4
98062500.BIS	506	3.00	4591	15.5	-13.3	-41.3	8.1	7.7	15.5	15.9	15.4	89	2.5	3.0
98062500.ABR	396	3.00	4448	16.3	-13.7	-40.5	8.8	7.3	11.2	17.4	28.7	42	3.0	3.7
98061400.OAX	350	3.00	2830	13.3	-10.5	-39.5	7.7	7.9	15.3	24.4	45.4	219	1.8	3.4
98052400.DDC	790	3.00	2630	11.6	-12.9	-41.5	6.7	7.8	9.8	22.0	27.7	101	1.4	2.3
97061000.FWD	196	3.00	2699	15.6	-9.9	-34.9	7.0	6.7	10.9	18.7	24.1	98	1.1	1.3
97052600.OUN	357	3.00	5143	17.2	-7.7	-38.5	5.9	8.3	15.0	30.4	32.4	148	2.0	2.6
96070800.LBF	847	3.00	3341	15.3	-6.4	-32.5	7.0	6.9	20.6	30.0	41.5	390	1.3	2.2
96062012.LBF	847	3.00	3418	15.2	-8.6	-35.4	7.9	7.3	16.5	22.6	25.0	380	1.7	3.3
96061400.UNR	1037	3.00	3801	13.1	-11.0	-37.6	8.4	7.2	12.4	18.0	14.8	63	2.0	2.0
96052700.OUN	362	3.00	3034	15.2	-9.4	-36.2	6.9	7.2	22.5	29.8	33.6	330	1.7	2.0
96042000.ILX	178	3.00	2394	12.9	-14.6	-41.1	7.1	7.3	16.4	27.0	39.5	249	2.1	-999.0
96033100.SHV	84	3.00	2891	12.7	-17.1	-46.6	7.6	8.2	20.1	27.4	35.5	163	3.0	3.1
95082700.GGW	696	3.00	3094	11.7	-12.6	-38.7	8.3	7.1	13.6	26.8	41.0	162	2.4	1.7
95082300.INL	359	3.00	3023	15.4	-11.6	-36.2	8.0	6.7	25.4	30.9	26.5	694	2.5	2.1
95072400.DDC	791	3.00	3645	15.9	-9.9	-33.5	8.2	6.3	11.8	18.2	32.6	31	1.7	3.6
95071500.LBF	847	3.00	3052	14.4	-7.0	-32.9	6.5	6.9	13.9	15.9	24.7	159	0.7	2.1
95062300.LBF	847	3.00	2962	12.9	-11.1	-36.7	7.9	7.0	15.3	21.0	19.8	220	1.7	2.8
95043000.FTD	196	3.00	4416	15.0	-13.3	-43.2	8.1	8.2	15.6	21.9	31.7	166	3.4	3.4
95021400.PBI	6	3.00	2433	16.5	-11.0	-41.1	5.9	8.1	13.8	27.1	33.4	117	1.4	0.6
94060600.DDC	791	3.00	4882	14.8	-8.8	-37.2	8.7	7.6	13.1	15.6	18.6	248	1.9	2.1
94052600.FNT	236	3.00	2240	10.8	-16.3	-46.6	6.1	8.4	12.8	17.8	25.8	113	1.0	2.4
94032800.CKL	140	3.00	2066	15.3	-9.6	-33.7	6.3	6.4	30.5	38.6	36.3	429	1.1	0.6
93091900.DDC	824	3.00	1954	12.4	-10.4	-35.2	7.2	6.7	16.8	29.5	46.6	233	1.2	2.8
93091900.AMA	1094	3.00	1911	12.4	-9.0	-33.5	7.7	6.5	16.5	32.7	35.4	264	1.1	2.4
93082300.DDC	790	3.00	2608	13.3	-7.8	-33.0	7.7	6.8	13.1	19.5	27.0	83	1.0	2.0
93070900.OVN	487	3.00	5546	19.7	-6.8	-30.3	6.9	6.2	16.9	29.4	24.3	345	2.3	0.6
93070200.DDC	816	3.00	4895	17.1	-5.2	-33.2	7.2	7.4	13.3	16.4	21.4	237	1.0	2.8
93060600.HAT	4	3.00	4948	16.0	-13.5	-38.7	8.3	6.9	12.6	15.5	17.2	70	2.8	3.9
93050600.MAF	873	3.00	3784	13.9	-9.6	-37.2	7.2	7.4	18.6	27.0	25.4	149	2.3	2.5
92070500.OVN	400	3.00	5051	17.3	-9.3	-36.1	7.4	7.2	16.1	21.8	33.3	243	2.5	3.5
92062700.MAF	873	3.00	3224	13.9	-8.2	-32.9	7.7	6.6	13.0	23.7	38.8	253	1.6	2.5
92032600.TBW	13	3.00	2104	12.6	-14.0	-43.1	6.5	8.0	18.6	32.2	37.0	195	1.5	1.1
91052700.DDC	791	3.00	5493	17.0	-10.5	-38.1	8.4	7.4	13.3	21.7	29.3	81	3.4	2.9
91040912.1M1	172	3.00	3450	14.2	-15.2	-42.3	8.0	7.5	11.5	19.7	20.8	134	2.7	-999.0
91032700.TOP	268	3.00	2763	12.7	-12.3	-39.3	6.8	7.4	21.6	27.7	31.7	279	1.9	2.5
90052700.OUN	357	3.00	4621	17.5	-8.8	-37.3	7.6	7.7	20.4	23.8	25.1	255	2.4	3.2
90051500.OUN	357	3.00	4798	16.8	-10.7	-38.4	7.8	7.5	12.5	19.8	29.7	186	2.6	4.2
89060700.AMA	1095	3.00	4752	15.4	-9.5	-33.5	8.5	6.4	21.7	30.5	55.6	303	3.3	2.4
89060500.OUN	357	3.00	1640	12.5	-11.6	-39.9	7.0	7.7	8.8	15.7	23.9	53	0.6	0.7
72081200.YRM	988	3.00	1989	10.9	-14.2	-40.4	8.3	7.1	14.0	24.6	35.0	132	1.5	2.4
06052800.BIS	506	3.00	3434	12.5	-11.1	-38.7	8.1	7.5	10.5	11.3	12.7	74	1.0	1.8
06052700.BNA	210	3.00	3535	16.1	-8.3	-35.3	5.9	7.2	17.7	12.8	17.2	196	0.7	0.7
06052500.SGF	387	3.00	3470	15.6	-11.1	-37.1	7.6	7.0	13.6	14.3	7.3	162	1.4	2.0
06042500.OUN	357	3.00	4007	15.5	-12.3	-39.3	8.6	7.3	15.4	20.1	21.2	105	2.8	3.3
06042412.LMN	317	3.00	3248	14.1	-12.9	-39.7	8.2	7.3	16.6	25.4	28.7	413	2.8	3.2
04081000.DDC	790	3.00	3147	14.6	-9.7	-36.3	7.7	7.1	13.0	21.0	22.0	222	1.6	3.0
04070200.AMA	1099	3.00	5137	16.9	-8.1	-37.7	7.4	7.9	18.0	14.0	16.6	80	1.4	3.0
04052300.OAX	350	3.00	4333	15.6	-12.3	-40.7	7.6	7.8	19.6	32.4	28.9	289	3.6	3.0
04051700.DDC	790	3.00	2200	10.0	-11.9	-41.3	8.4	8.0	20.5	31.7	30.2	390	1.6	1.5
04042200.OUN	357	3.00	2363	12.2	-13.5	-39.5	7.0	7.1	16.9	24.3	33.8	385	1.6	2.7
04041900.OAX	350	3.00	3136	11.9	-15.1	-40.5	8.2	7.0	20.5	33.8	44.9	394	3.0	1.9
03062800.DDC	790	3.00	2329	11.4	-9.3	-38.9	6.7	8.0	10.8	16.9	26.8	138	0.7	2.2
03062400.LBF	849	3.00	6189	18.6	-8.7	-38.9	8.1	8.1	21.7	30.8	31.6	381	3.8	4.8
03050420.SGF	387	3.00	4524	15.8	-11.9	-40.7	7.1	7.8	25.2	35.4	47.9	480	3.3	3.2
03042100.SHV	79	3.00	2947	15.5	-13.5	-38.7	7.5	6.8	14.3	24.0	38.0	110	2.3	0.9
01090900.FWD	171	3.00	4304	17.1	-8.9	-35.7	8.2	7.1	7.7	14.1	12.0	97	1.4	2.7
01053000.AMA	1099	3.00	5827	16.4	-9.7	-38.5	8.2	7.7	25.0	26.1	29.7	268	3.9	2.8
01051900.LZK	78	3.00	4269	16.6	-12.5	-37.3	8.1	6.7	9.9	18.5	25.8	98	2.6	2.7
00080600.OAX	350	3.00	5525	19.0	-7.1	-33.1	7.5	6.9	9.4	15.0	22.8	56	1.4	3.1
00062900.MAF	872	3.00	3565	14.8	-6.3	-31.1	6.3	6.6	9.6	10.5	16.7	29	0.5	1.8
00050400.FWD	196	3.00	2731	13.2	-14.3	-40.3	6.3	7.1	19.0	21.7	28.5	327	1.7	3.0
99081800.LBF	849	2.75	5554	18.3	-8.9	-32.5	7.8	6.4	10.7	23.7	25.1	143	2.9	3.4
99070100.MAF	872	2.75	3989	13.7	-2.5	-33.9	7.5	8.3	10.5	14.9	13.7	146	0.8	2.0
99061900.DDC	790	2.75	4141	13.9	-11.3	-40.3	7.3	7.9	13.4	22.5	29.0	346	2.5	2.4
99061200.AMA	1099	2.75	4400	14.7	-10.3	-36.3	7.7	7.0	18.8	26.2	36.6	210	3.0	2.4
99060300.AMA	1099	2.75	5087	15.6	-10.3	-36.5	8.7	7.1	15.5	18.6	49.2	289	2.7	2.5
98061400.OUN	357	2.75	6689	20.5	-6.5	-32.5	7.7	6.9	17.9	32.8	42.7	262	2.9	4.0
98052500.DDC	790	2.75	2688	12.5	-12.1	-40.7	7.2	7.8	13.7	27.9	32.0	180	1.9	2.7
98040900.BMX	178	2.75	3341	15.8	-13.9	-39.5	7.9	7.0	25.9	40.1	51.5	296	3.2	2.0
97061600.DDC	790	2.75	3187	13.5	-10.9	-36.5	7.7	6.9	11.9	23.3	39.3	26	2.0	2.7
97061200.TOP	270	2.75	1552	12.6	-11.7	-38.7	7.1	7.3	11.6	23.5	30.2	141	0.9	0.9
97052700.SGF	387	2.75	4440	16.3	-9.9	-38.1	7.0	7.6	16.3	22.6	25.0	276	2.3	2.6
97052700.OUN	357	2.75	5907	18.0	-8.7	-37.7	6.4	7.8	17.6	17.5	23.9	271	1.9	3.7
97042100.SGF	387	2.75	1773	9.4	-16.5	-45.7	7.4	8.1	23.3	25.4	23.9	405	1.4	2.0
97041100.MAF	873	2.75	4076	11.9	-15.0	-45.9	8.2	8.5	20.8	23.7	30.7	260	3.3	2.1
97032900.BNA	180	2.75	1618	11.1	-15.6	-42.6	7.4	7.4	18.1	25.2	15.3	389	1.3	3.0
97012500.SIL	8	2.75	2563	13.0	-16.5	-46.0	7.5	8.2	18.3	18.3	25.8	145	1.8	2.8
96092100.FTD	196	2.75	2870	16.4	-9.4	-37.2	6.5	7.4	15.7	26.4	32.6	136	1.5	-999.0
96083000.DEN	1611	2.75	2478	11.7	-9.1	-36.2	7.8	7.3	17.6	26.2	28.9	86	1.3	2.3
96080100.DEN	1611	2.75	3920	13.5	-7.8	-34.9	8.5	7.3	15.0	22.6	26.3	276	1.9	2.1
96072400.DDC	791	2.75	3068	14.3	-11.1	-36.0	8.6	6.7	16.8	27.6	36.6	203	2.6	2.7
96062500.AMA	1095	2.75	3778	13.9	-9.4	-33.2	8.5	6.4	7.0	22.9	28.2	123	2.2	1.9
96061400.LBF	847	2.75	2384	12.4	-8.6	-36.2	6.5	7.4	12.0	15.4	25.0	102	0.6	2.2
96061300.FFC	246	2.75	2727	13.7	-9.1	-36.5	5.7	7.4	12.9	12.9	13.1	152	0.6	1.0
96061200.AMA	1095	2.75	3079	11.9	-8.8	-38.1	8.0	7.9	18.3	24.3	30.2	373	1.5	1.9
96060300.SGF	394	2.75	2739	11.7	-15.9	-42.2	7.1	7.2	14.8	26.4	35.9	90	2.3	2.1
96060200.JAN	91	2.75	1863	16.1	-7.5	-32.6	5.5	6.8	11.3	12.7	20.3	168	0.3	0.6
96060100.ABR	397	2.75	2276	12.6	-13.4	-40.4	6.2	7.4	24.6	22.4	27.2	370	1.3	2.2
96053000.MAF	873	2.75	3675	14.9	-7.0	-32.9	7.7	6.9	19.0	35.1	40.6	321	1.7	2.5
96052600.MAF	873	2.75	3464	14.1	-6.2	-36.5	7.7	8.1	22.5	28.7	42.1	240	1.4	2.9
96052500.AMA	1095	2.75	3927	13.5	-11.3	-36.6	9.1	6.9	16.4	20.3	4.9	101	2.6	1.9
96051800.OAX	350	2.75	4523	15.3	-11.1	-39.7	8.8	7.8	12.9	16.0	21.2	68	2.3	-999.0
96051700.UNR	1037	2.75	4365	14.8	-8.1	-37.0	8.0	7.8	15.0	25.5	28.7	219	2.3	2.5
